site	country	source	site2	traffic_source	landingpage	sendingpage	user	pages	year	month	day		Row Labels	Count of user
wp.pl	616	243	cinkciarz.pl	5	wp.pl	cinkciarz.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""wp.pl"",""wiadomosci.wp.pl/krajowa-siodemka-zablokowana-wypadek-i-kolizja-6116869073270401a"",""wp.pl"",""film.wp.pl/program-tv-na-piatek-9-kompania-interstellar-shrek-steve-jobs-28-04-2017-6116471068272257a"",""wp.pl"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/2"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/3"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/4"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/5"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/6"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/7"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/8"",""wp.pl"",""sportowefakty.wp.pl/hokej/683508/ms-w-hokeju-kluczowy-mecz-dla-polakow-wegry-kazachstan-na-zywo"",""wiadomosci.wp.pl/obronca-polski-czy-tryb-w-rosyjskiej-maszynie-kim-jest-tomasz-maciejczuk-6116570371131009a"",""sportowefakty.wp.pl/boks/683102/on-nie-ma-serca-do-walki-szokujace-porazki-wladimira-kliczki"",""sportowefakty.wp.pl/boks/683102/on-nie-ma-serca-do-walki-szokujace-porazki-wladimira-kliczki/2"",""sportowefakty.wp.pl/boks/683102/on-nie-ma-serca-do-walki-szokujace-porazki-wladimira-kliczki/3"",""sportowefakty.wp.pl/boks/683102/on-nie-ma-serca-do-walki-szokujace-porazki-wladimira-kliczki/4"",""sportowefakty.wp.pl/boks/683102/on-nie-ma-serca-do-walki-szokujace-porazki-wladimira-kliczki/5"",""sportowefakty.wp.pl/boks/683400/tyson-fury-zakpil-z-anthonyego-joshuy"",""sportowefakty.wp.pl/boks/683102/on-nie-ma-serca-do-walki-szokujace-porazki-wladimira-kliczki/5"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/2"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/3"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/4"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/5"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/6"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/7"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/8"",""sportowefakty.wp.pl/boks/683317/starszy-z-braci-kliczkow-wroci-do-boksu-witalij-postawil-jeden-warunek"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/8"",""sportowefakty.wp.pl/boks/683415/osiem-maratonow-4-tys-kalorii-i-5-godzin-treningow-dziennie-oto-recepta-joshuy-n/6"",""wp.pl"",""wp.pl"",""wp.pl"",""sportowefakty.wp.pl/pilka-nozna/683384/newcastle-united-szykuje-fortune-na-transfery-jednym-z-nabytkow-moze-byc-kamil-g"",""wp.pl"",""wp.pl"",""sportowefakty.wp.pl/hokej/683508/ms-w-hokeju-kluczowy-mecz-dla-polakow-wegry-kazachstan-na-zywo"",""wp.pl""]"	17	4	28		money.pl	4
cinkciarz.pl	616	243	kozak-diamonds.pl	5	cinkciarz.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""cinkciarz.pl""]"	17	4	28		o2.pl	2
rp.pl	616	243	kitco.com	5	rp.pl	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""rp.pl"",""rp.pl/Polityka/304279861-Japonia-walczy-o-Kuryle.html"",""rp.pl/Polityka/304279861-Japonia-walczy-o-Kuryle.html#ap-1"",""rp.pl/Polityka/304279861-Japonia-walczy-o-Kuryle.html#ap-2"",""rp.pl/Polityka/304279861-Japonia-walczy-o-Kuryle.html#ap-1"",""rp.pl/Papiez-Franciszek/304279860-Papiez-jedzie-do-papieza-szejka-i-prezydenta.html"",""rp.pl/Papiez-Franciszek/304279860-Papiez-jedzie-do-papieza-szejka-i-prezydenta.html#ap-1""]"	17	4	28		pl.wikipedia.org	2
o2.pl	616	243	wp.pl	6	o2.pl/artykul/to-ostatni-widok-przed-uderzeniem-atomowki-6116636950021761a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""o2.pl/artykul/to-ostatni-widok-przed-uderzeniem-atomowki-6116636950021761a"",""o2.pl/hot/robi-wode-z-niczego-to-urzadzenie-to-przelom-6112007118882945a"",""o2.pl/hot"",""o2.pl/hot/trump-pokazal-kimowi-co-ma-w-arsenale-6116636950021761a"",""o2.pl/hot"",""o2.pl/hot/trump-pokazal-kimowi-co-ma-w-arsenale-6116636950021761a"",""o2.pl/hot""]"	17	4	28		rp.pl	2
wp.tv	616	243	wp.pl	6	"wp.tv/i,gigantyczna-inwestycja-w-czarnobylu,mid,2001537,cid,2275650,klip.html?ticaid=6190d4"	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""wp.tv/i,gigantyczna-inwestycja-w-czarnobylu,mid,2001537,cid,2275650,klip.html?ticaid=6190d4""]"	17	4	28		scoreboard.com	2
google.pl	616	243	bookshelf.cambridge.org	5	google.pl/search?client=opera&q=HomeELT&sourceid=opera&ie=UTF-8&oe=UTF-8	bookshelf.cambridge.org/app/#/shelf/MyLibrary	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""google.pl/search?client=opera&q=HomeELT&sourceid=opera&ie=UTF-8&oe=UTF-8"",""google.pl/search?client=opera&q=Unit+1:+am/is/are%0D%0A&sourceid=opera&ie=UTF-8&oe=UTF-8""]"	17	4	28		sportowefakty.wp.pl	6
bookshelf.cambridge.org	616	243	kozak-diamonds.pl	5	bookshelf.cambridge.org/auth/#/login	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""bookshelf.cambridge.org/auth/#/login"",""bookshelf.cambridge.org/auth/#/register"",""bookshelf.cambridge.org/app/#/shelf/MyLibrary"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read"",""bookshelf.cambridge.org/auth/#/login"",""bookshelf.cambridge.org/app/#/shelf/MyLibrary"",""bookshelf.cambridge.org/app/#/shelf/1.2113.4540."",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/how-to-use-this-ebook-1"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/how-to-use-this-ebook-2"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/shelf/MyLibrary"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/shelf/MyLibrary"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/exercises"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/contents"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/search"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/how-to-use-this-ebook-1"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/search"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/contents"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/imprint"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/contents"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/shelf/MyLibrary"",""bookshelf.cambridge.org/auth/#/login"",""bookshelf.cambridge.org/auth/#/login"",""bookshelf.cambridge.org/app/#/shelf/MyLibrary"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/shelf/MyLibrary"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/exercises"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/exercises"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/additional-exercises"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/exercises"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/contents"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-teacher"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/exercises"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-teacher"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/contents"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/exercises"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/exercises"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/explanations"",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/shelf/MyLibrary"",""bookshelf.cambridge.org/app/#/shelf/1.2113.4540."",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/shelf/1.2113.4540."",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/shelf/1.2113.4540."",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/app/#/shelf/1.2113.4540."",""bookshelf.cambridge.org/app/#/book/essential-grammar-in-use-ebook-2/read/to-the-student"",""bookshelf.cambridge.org/auth/#/login""]"	17	4	28		wiadomosci.wp.pl	4
ipko.pl	616	243	kitco.com	5	ipko.pl	kitco.com	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""ipko.pl"",""ipko.pl/index.html"",""ipko.pl/index.html#home"",""ipko.pl/index.html#transactions/transfers"",""ipko.pl/logout.html""]"	17	4	28		wp.pl	5
kitco.com	616	243	cinkciarz.pl	5	kitco.com	cinkciarz.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""kitco.com""]"	17	4	28		wp.tv	2
bilion.com.pl	616	243	kozak-diamonds.pl	5	bilion.com.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""bilion.com.pl""]"	17	4	28		zapytaj.onet.pl	2
zapytaj.onet.pl	616	243	google.pl	1160	"zapytaj.onet.pl/Category/036,002/2,3866933,Czy_1_maja_to_swieto_koscielne.html"	google.pl/search?client=opera&q=1+maja&sourceid=opera&ie=UTF-8&oe=UTF-8#q=1+maja+%C5%9Bwi%C4%99to+ko%C5%9Bcielne	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""zapytaj.onet.pl/Category/036,002/2,3866933,Czy_1_maja_to_swieto_koscielne.html""]"	17	4	28		cambridge.org	1
pl.wikipedia.org	616	243	google.pl	1160	pl.wikipedia.org/wiki/1_maja	google.pl/search?client=opera&q=1+maja&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""pl.wikipedia.org/wiki/1_maja"",""pl.wikipedia.org/wiki/%C5%9Awi%C4%99to_Pracy""]"	17	4	28		onet.pl	1
kozak-diamonds.pl	616	243	cinkciarz.pl	5	kozak-diamonds.pl	cinkciarz.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""kozak-diamonds.pl""]"	17	4	28		wikipedia.org	1
allegro.pl	616	243	google.pl	1160	allegro.pl	google.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""allegro.pl"",""allegro.pl/listing?string=aleksandryt&order=m&bmatch=base-relevance-floki-5-nga-biz-1-5-0222"",""allegro.pl/zlote-kolczyki-aleksandryty-i-diamenty-stare-i6730141692.html"",""allegro.pl/zlote-kolczyki-aleksandryty-i-diamenty-stare-i6730141692.html#imglayer"",""allegro.pl/zlote-kolczyki-aleksandryty-i-diamenty-stare-i6730141692.html""]"	17	4	28		Grand Total	62
scoreboard.com	616	243	google.pl	1160	scoreboard.com/pl/tenis/atp-singiel/barcelona	google.pl/search?client=opera&q=atp+barcelona+2017&sourceid=opera&ie=UTF-8&oe=UTF-8	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""scoreboard.com/pl/tenis/atp-singiel/barcelona"",""scoreboard.com/pl/mecz/murray-andy-ramos-albert-2017/vFc4YD1c/#szczegoly-meczu|statystyki-meczu;0"",""scoreboard.com/pl/mecz/murray-andy-ramos-albert-2017/vFc4YD1c/#szczegoly-meczu|statystyki-meczu;0"",""scoreboard.com/pl/zawodnik/ramos-albert/bHLexrv0"",""scoreboard.com/pl/mecz/murray-andy-ramos-albert-2017/vFc4YD1c/#szczegoly-meczu|statystyki-meczu;0""]"	17	4	28			
sportowefakty.wp.pl	616	243	wp.pl	6	sportowefakty.wp.pl/pilka-nozna/683384/newcastle-united-szykuje-fortune-na-transfery-jednym-z-nabytkow-moze-byc-kamil-g	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""sportowefakty.wp.pl/pilka-nozna/683384/newcastle-united-szykuje-fortune-na-transfery-jednym-z-nabytkow-moze-byc-kamil-g"",""sportowefakty.wp.pl/hokej/683508/ms-w-hokeju-kluczowy-mecz-dla-polakow-wegry-kazachstan-na-zywo""]"	17	4	28			
money.pl	616	243	wp.pl	6	"money.pl/gospodarka/wiadomosci/artykul/500-swiadczenia-rodzinne-rafalska-resort,242,0,2309106.html"	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""money.pl/gospodarka/wiadomosci/artykul/500-swiadczenia-rodzinne-rafalska-resort,242,0,2309106.html"",""money.pl/gospodarka/wiadomosci/artykul/jan-szyszko-porozumienie-paryskie-polska,131,0,2309251.html""]"	17	4	28			
wp.pl	616	243	kozak-diamonds.pl	5	wp.pl	kozak-diamonds.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""wp.pl"",""wp.pl"",""wp.pl"",""wp.pl"",""wp.pl"",""wp.pl""]"	17	4	28			
gwiazdy.wp.pl	616	243	wp.pl	6	gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/2"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/3"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/4"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/5"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/6"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/7"",""gwiazdy.wp.pl/malzenstwo-steczkowskiej-nie-bylo-idealne-co-poszlo-nie-tak-6116790098839681g/8""]"	17	4	28		allegro.pl	2
film.wp.pl	616	243	wp.pl	6	film.wp.pl/program-tv-na-piatek-9-kompania-interstellar-shrek-steve-jobs-28-04-2017-6116471068272257a	wp.pl	2tB5vyXagJNOKoMiU6gzO0b1D1WPG8xU	"[""film.wp.pl/program-tv-na-piatek-9-kompania-interstellar-shrek-steve-jobs-28-04-2017-6116471068272257a""]"	17	4	28		bilion.com.pl	2
