country	platform	sitesize	lb	c	ub	month	year			month	4														
France	Desktop	10000	0.488837945	0.525512254	0.568135758	5	17			Italy	0.484555016	0.520908005	0.563158065	0.602862027	0.648090815	0.700656481	0.704706263	0.757575758	0.819021581	0.620141512	0.666666667	0.720738991	2.412264819	2.593241244	2.803575118
Belgium	Desktop	1000000	0.620141512	0.666666667	0.720738991	5	17			Japan	0.39363143	0.423163017	0.457485129	0.470452181	0.505747126	0.546767511	0.57074971	0.613569322	0.663335001	0.689046124	0.740740741	0.800821101	2.123879445	2.283220206	2.468408742
Belgium	Desktop	100000	0.51204345	0.550458716	0.595105589	5	17			Kuwait	0.512898995	0.551378446	0.596099918	0.620141512	0.666666667	0.720738991							1.133040507	1.218045113	1.316838909
Belgium	Desktop	10000	0.410376548	0.441164412	0.47694659	5	17			Malaysia	0.62160411	0.668238994	0.722438847	0.677259809	0.728070175	0.787122846	0.87	0.962962963	0.93	0.87	0.9	0.93	3.038863919	3.259272132	3.369561693
Malaysia	Desktop	1.00E+07	0.87	0.9	0.93	5	17			Mexico	0.524629665	0.563989192	0.609733502	0.749938572	0.80620155	0.871591338	0.817459266	0.878787879	0.93	0.87	0.9	0.93	2.962027503	3.148978621	3.34132484
Malaysia	Desktop	1000000	0.667844705	0.717948718	0.776180452	5	17			Morocco	0.514834463	0.553459119	0.598349351	0.632797461	0.680272109	0.73544795	0.87	0.9	0.93				2.017631924	2.133731228	2.263797302
Malaysia	Desktop	100000	0.615016375	0.661157025	0.714782471	5	17			Netherlands	0.338804146	0.364222401	0.393763929	0.433114707	0.465608466	0.503373264	0.568463053	0.611111111	0.660677409				1.340381905	1.440941978	1.557814602
Malaysia	Desktop	10000	0.56421363	0.606542882	0.655738658	5	17			New Zealand	0.384252916	0.413080895	0.446585261	0.496113209	0.533333333	0.576591193	0.413427675	0.444444444	0.480492661				1.2937938	1.390858673	1.503669115
Venezuela	Desktop	1.00E+07	0.87	0.9	0.93	5	17			Norway	0.296901728	0.319176319	0.345064227	0.342709783	0.368421053	0.398303127	0.413427675	0.444444444	0.480492661				1.053039185	1.132041816	1.223860015
Venezuela	Desktop	1000000	0.87	0.9	0.93	5	17			Pakistan	0.667844705	0.717948718	0.776180452	0.698550209	0.750957854	0.81186691	0.87	0.9	0.93				2.236394914	2.368906572	2.518047362
Venezuela	Desktop	100000	0.784296618	0.843137255	0.911522842	5	17			Peru	0.693209545	0.745216516	0.8056599	0.87	0.942857143	0.93	0.87	0.9	0.93	0.87	0.9	0.93	3.303209545	3.488073658	3.5956599
Venezuela	Desktop	10000	0.607485563	0.653061224	0.706030032	5	17			Philippines	0.554197355	0.595775152	0.644097573	0.528268695	0.567901235	0.613962844	0.442958223	0.476190476	0.514813565				1.525424273	1.639866863	1.772873983
Brazil	Desktop	1.00E+07	0.826855349	0.888888889	0.93	5	17			Poland	0.440127626	0.473147519	0.511523798	0.610994882	0.656833825	0.710108623	0.801413646	0.861538462	0.93	0.826855349	0.888888889	0.93	2.679391504	2.880408694	3.081632421
Brazil	Desktop	1000000	0.725088537	0.779487179	0.842710205	5	17			Portugal	0.456946377	0.49122807	0.531070836	0.555174306	0.596825397	0.645233002	0.77517689	0.833333333	0.900923739				1.787297573	1.9213868	2.077227577
Brazil	Desktop	100000	0.620141512	0.666666667	0.720738991	5	17			Qatar	0.481202703	0.517304189	0.55926195	0.77517689	0.833333333	0.900923739							1.256379593	1.350637523	1.460185689
Brazil	Desktop	10000	0.536106981	0.576327575	0.623072633	5	17			Romania	0.502543053	0.540245566	0.584064067	0.745845872	0.801801802	0.866834733	0.87	0.9	0.93				2.118388926	2.242047368	2.380898799
Germany	Desktop	1.00E+07	0.826855349	0.888888889	0.93	5	17			Russia	0.655910415	0.705119076	0.762310217	0.710343914	0.763636364	0.825573754	0.87	0.937799043	0.93	0.87	0.9	0.93	3.106254328	3.306554483	3.447883971
Germany	Desktop	1000000	0.740467477	0.7960199	0.86058387	5	17			Saudi Arabia	0.587764646	0.631860776	0.683110048	0.586067802	0.63003663	0.681137948	0.789271015	0.848484848	0.917304171				1.963103463	2.110382255	2.281552166
Germany	Desktop	100000	0.557430572	0.599250936	0.647855273	5	17			Serbia	0.592038422	0.636455186	0.688077103	0.860196291	0.924731183	0.93	0.87	0.9	0.93				2.322234713	2.461186369	2.548077103
Germany	Desktop	10000	0.421587431	0.453216374	0.489976069	5	17			Singapore	0.495193346	0.532344458	0.575522112	0.531549867	0.571428571	0.617776278	0.354366578	0.380952381	0.411850852				1.381109791	1.484725411	1.605149242
Saudi Arabia	Desktop	1000000	0.551236899	0.592592593	0.640656881	5	17			Slovakia	0.395748202	0.425438596	0.459945277	0.630652385	0.677966102	0.732954906	0.620141512	0.666666667	0.720738991	0.87	0.9	0.93	2.516542098	2.670071365	2.843639175
Saudi Arabia	Desktop	100000	0.407521565	0.438095238	0.47362848	5	17			South Africa	0.459760086	0.494252874	0.534340976	0.548335653	0.589473684	0.637285003	0.763251092	0.820512821	0.887063374	0.87	0.9	0.93	2.641346831	2.804239378	2.988689353
Saudi Arabia	Desktop	10000	0.508362918	0.546502058	0.590828013	5	17			Spain	0.458621107	0.493028444	0.533017235	0.63872886	0.686648501	0.742341522	0.816771747	0.87804878	0.93	0.826855349	0.888888889	0.93	2.740977063	2.946614615	3.135358757
Mexico	Desktop	1.00E+07	0.87	0.9	0.93	5	17			Sweden	0.36627806	0.393757503	0.425694578	0.360082168	0.387096774	0.418493608	0.516784593	0.555555556	0.600615826				1.243144821	1.336409833	1.444804012
Mexico	Desktop	1000000	0.77517689	0.833333333	0.900923739	5	17			Switzerland	0.433945177	0.466501241	0.50433845	0.600961877	0.64604811	0.698448095	0.676518013	0.727272727	0.786260718				1.711425067	1.839822078	1.989047263
Mexico	Desktop	100000	0.680854667	0.731934732	0.791300851	5	17			Taiwan	0.525580927	0.56501182	0.610839074	0.5981896	0.643067847	0.695226107	0.620141512	0.666666667	0.720738991	0.87	0.9	0.93	2.613912039	2.774746334	2.956804172
Mexico	Desktop	10000	0.538659504	0.579071597	0.626039218	5	17			Thailand	0.444629763	0.477987421	0.516756258	0.536951797	0.577235772	0.624054492	0.87	0.962962963	0.93	0.87	0.9	0.93	2.72158156	2.918186157	3.00081075
Serbia	Desktop	1000000	0.87	0.9	0.93	5	17			Turkey	0.298606403	0.321008885	0.34704543	0.501041486	0.538631347	0.58231892	0.635266915	0.682926829	0.738317991	0.77517689	0.833333333	0.900923739	2.210091694	2.375900394	2.56860608
Serbia	Desktop	100000	0.860604547	0.925170068	0.93	5	17			UAE	0.565994065	0.608456892	0.65780791	0.699068613	0.751515152	0.812469408	0.87	0.9	0.93				2.135062679	2.259972043	2.400277318
Serbia	Desktop	10000	0.55452927	0.596131968	0.64448333	5	17			UK	0.451563561	0.485441416	0.524814835	0.523969834	0.563279857	0.608966634	0.670037955	0.720306513	0.778729485	0.531549867	0.571428571	0.617776278	2.177121217	2.340456358	2.530287232
Bulgaria	Desktop	1000000	0.797324801	0.857142857	0.926664417	5	17			Ukraine	0.802409191	0.862608696	0.93	0.87	0.950943396	0.93	0.87	0.9	0.93	0.87	0.9	0.93	3.412409191	3.613552092	3.72
Bulgaria	Desktop	100000	0.651148587	0.7	0.756775941	5	17			US	0.496570328	0.533824747	0.577122464	0.536320554	0.576557171	0.623320851	0.618250837	0.664634146	0.718541616	0.761577295	0.81871345	0.885118059	2.412719014	2.593729515	2.804102991
Bulgaria	Desktop	10000	0.422823758	0.454545455	0.491412949	5	17			Venezuela	0.54796987	0.58908046	0.636859885	0.690612138	0.742424242	0.802641149	0.87	0.9	0.93	0.87	0.9	0.93	2.978582009	3.131504702	3.299501034
Greece	Desktop	1000000	0.757950737	0.814814815	0.880903212	5	17			Viet Nam	0.396930162	0.426709231	0.461318971	0.522793716	0.562015504	0.607599731	0.833632852	0.896174863	0.93	0.87	0.9	0.93	2.62335673	2.784899598	2.928918702
Greece	Desktop	100000	0.646344674	0.694835681	0.751192751	5	17			Mobile	6.891626394	7.477887366	8.173167214	5.122294856	5.55804128	6.074817464	4.023129865	4.365371868	4.771255902	3.363200084	3.605293111	3.886826156	19.4002512	21.00659362	22.90606674
Greece	Desktop	10000	0.59108535	0.635430611	0.686969427	5	17			Austria	0.360736259	0.391423585	0.427817411	0.158623188	0.17211704	0.188120157							0.519359447	0.563540625	0.615937568
Singapore	Desktop	1000000	0.206713837	0.222222222	0.24024633	5	17			Brazil	0.397953522	0.431806869	0.471955456	0.283659742	0.307790278	0.336408037	0.306931003	0.333041192	0.364006733	0.292571658	0.317460317	0.346977178	1.281115925	1.390098657	1.519347405
Singapore	Desktop	100000	0.475922556	0.511627907	0.553125272	5	17			France	0.414993347	0.450296248	0.492163942	0.344052037	0.37332006	0.408030654	0.173613951	0.188383046	0.205898545				0.932659334	1.011999353	1.106093142
Singapore	Desktop	10000	0.520411152	0.559454191	0.604830674	5	17			Germany	0.384355747	0.41705235	0.45582909	0.241593263	0.262145262	0.286519034	0.147778541	0.160349854	0.175258881	0.202549609	0.21978022	0.24021497	0.97627716	1.059327686	1.157821974
Slovakia	Desktop	1.00E+07	0.87	0.9	0.93	5	17			Global	0.372533732	0.404224653	0.441808698	0.332986914	0.361313643	0.394907903	0.252136047	0.273584906	0.299022314	0.294233997	0.319264069	0.34894864	1.251890689	1.358387271	1.484687555
Slovakia	Desktop	1000000	0.413427675	0.444444444	0.480492661	5	17			Greece	0.254820476	0.276497696	0.30220593	0.137142965	0.148809524	0.162645552	0.138586575	0.15037594	0.164357611				0.530550015	0.57568316	0.629209093
Slovakia	Desktop	100000	0.721094781	0.775193798	0.838068595	5	17			Hungary	0.378869773	0.411099692	0.449322965	0.263314492	0.285714286	0.312279461	0.263314492	0.285714286	0.312279461				0.905498757	0.982528263	1.073881886
Slovakia	Desktop	10000	0.425114676	0.457008245	0.494075492	5	17			India	0.280724403	0.304605233	0.332926853	0.17615041	0.191135278	0.208906675	0.167077723	0.18129079	0.198146866	0.125387853	0.136054422	0.148704505	0.749340389	0.813085723	0.888684899
Morocco	Desktop	1000000	0.87	0.9	0.93	5	17			Indonesia	0.285922302	0.31024531	0.339091333	0.13482971	0.146299484	0.159902133	0.062693927	0.068027211	0.074352253				0.483445938	0.524572005	0.573345719
Morocco	Desktop	100000	0.605719616	0.651162791	0.703977619	5	17			Israel	0.306599066	0.332681018	0.36361307	0.219428743	0.238095238	0.260232884	0.154890878	0.168067227	0.1836938				0.680918687	0.738843483	0.807539755
Morocco	Desktop	10000	0.505789176	0.543735225	0.587836766	5	17			Japan	0.440288855	0.477743609	0.522163308	0.353298169	0.383352748	0.418996163	0.151912207	0.164835165	0.180161227	0.105325797	0.114285714	0.124911784	1.050825028	1.140217236	1.246232482
Viet Nam	Desktop	1.00E+07	0.620141512	0.666666667	0.720738991	5	17			Philippines	0.234994627	0.254985289	0.27869334	0.223731268	0.242763772	0.265335489	0.309781755	0.336134454	0.367387601	0.87	0.9	0.93	1.63850765	1.733883515	1.84141643
Viet Nam	Desktop	1000000	0.620141512	0.666666667	0.720738991	5	17			Portugal	0.39389258	0.427400468	0.467139357	0.308825639	0.335097002	0.366253688	0.329143115	0.357142857	0.390349326				1.031861334	1.119640327	1.223742371
Viet Nam	Desktop	100000	0.503604852	0.541387025	0.585298107	5	17			Russia	0.398102405	0.431968417	0.472132025	0.300488303	0.32605042	0.356365973	0.336979856	0.365646259	0.399643357	0.219428743	0.238095238	0.260232884	1.254999307	1.361760334	1.488374239
Viet Nam	Desktop	10000	0.387521906	0.416595136	0.450384537	5	17			Spain	0.367784655	0.399071578	0.4361765	0.225128191	0.24427953	0.266992179	0.07979227	0.086580087	0.09463014				0.672705116	0.729931195	0.797798819
South Africa	Desktop	1000000	0.789271015	0.848484848	0.917304171	5	17			Thailand	0.435083528	0.472095472	0.515990018	0.335353362	0.363881402	0.397714407	0.292571658	0.317460317	0.346977178	0.329143115	0.357142857	0.390349326	1.392151663	1.510580048	1.651030929
South Africa	Desktop	100000	0.565017822	0.607407407	0.656673303	5	17			Turkey	0.490039377	0.531726338	0.581165249	0.375573962	0.407523511	0.445414278	0.384616674	0.417335474	0.456138538	0.438857487	0.476190476	0.520465768	1.689087499	1.832775799	2.003183832
South Africa	Desktop	10000	0.520793378	0.559865093	0.605274903	5	17			UK	0.329791582	0.357846488	0.391118379	0.35340687	0.383470696	0.419125077	0.211862235	0.229885057	0.251259336	0.219428743	0.238095238	0.260232884	1.11448943	1.209297479	1.321735676
Canada	Desktop	1000000	0.708733156	0.761904762	0.823701704	5	17			US	0.36414016	0.395117052	0.431854289	0.354707629	0.384882108	0.42066772	0.25944696	0.281517748	0.307692737	0.266273082	0.288924559	0.315788219	1.24456783	1.350441466	1.476002964
Canada	Desktop	100000	0.518782706	0.557703574	0.602938067	5	17			Grand Total	35.4804829	38.21157848	41.39704793	40.20443219	43.29542128	46.59606962	43.78950135	46.67928184	49.29783044	27.99343181	29.41323215	30.87809699	147.4678482	157.5995138	168.169045
Canada	Desktop	10000	0.5204192	0.559462843	0.604840028	5	17																		
Spain	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Spain	Desktop	1000000	0.600136947	0.64516129	0.697489346	5	17																		
Spain	Desktop	100000	0.610421425	0.656217346	0.709442142	5	17																		
Spain	Desktop	10000	0.465938166	0.500894454	0.541521246	5	17																		
Netherlands	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Netherlands	Desktop	1000000	0.593178837	0.637681159	0.689402513	5	17																		
Netherlands	Desktop	100000	0.483133503	0.519379845	0.561505958	5	17																		
Netherlands	Desktop	10000	0.347150274	0.373194685	0.403463941	5	17																		
Hong Kong	Desktop	1000000	0.744169814	0.8	0.86488679	5	17																		
Hong Kong	Desktop	100000	0.638933679	0.686868687	0.742579567	5	17																		
Hong Kong	Desktop	10000	0.541127342	0.581724582	0.628907382	5	17																		
Hungary	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Hungary	Desktop	1000000	0.87	0.9	0.93	5	17																		
Hungary	Desktop	100000	0.728938268	0.783625731	0.847184428	5	17																		
Hungary	Desktop	10000	0.543747268	0.584541063	0.631952304	5	17																		
Chile	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Chile	Desktop	1000000	0.862805582	0.927536232	0.93	5	17																		
Chile	Desktop	100000	0.800466349	0.860520095	0.93	5	17																		
Chile	Desktop	10000	0.568622063	0.611282051	0.660862214	5	17																		
Sweden	Desktop	1000000	0.496113209	0.533333333	0.576591193	5	17																		
Sweden	Desktop	100000	0.39045947	0.419753086	0.453798624	5	17																		
Sweden	Desktop	10000	0.347628622	0.37370892	0.404019885	5	17																		
New Zealand	Desktop	1000000	0.177183289	0.19047619	0.205925426	5	17																		
New Zealand	Desktop	100000	0.516784593	0.555555556	0.600615826	5	17																		
New Zealand	Desktop	10000	0.434099058	0.466666667	0.504517294	5	17																		
India	Desktop	1.00E+07	0.826855349	0.888888889	0.93	5	17																		
India	Desktop	1000000	0.760173466	0.817204301	0.883486505	5	17																		
India	Desktop	100000	0.593622302	0.638157895	0.689917916	5	17																		
India	Desktop	10000	0.543105299	0.583850932	0.631206197	5	17																		
Switzerland	Desktop	1000000	0.551236899	0.592592593	0.640656881	5	17																		
Switzerland	Desktop	100000	0.490945364	0.527777778	0.570585035	5	17																		
Switzerland	Desktop	10000	0.382020876	0.4106814	0.443991147	5	17																		
Taiwan	Desktop	1000000	0.531549867	0.571428571	0.617776278	5	17																		
Taiwan	Desktop	100000	0.563765011	0.606060606	0.655217265	5	17																		
Taiwan	Desktop	10000	0.511750016	0.550143266	0.594764554	5	17																		
Indonesia	Desktop	1.00E+07	0.826855349	0.888888889	0.93	5	17																		
Indonesia	Desktop	1000000	0.77517689	0.833333333	0.900923739	5	17																		
Indonesia	Desktop	100000	0.614235402	0.66031746	0.71387481	5	17																		
Indonesia	Desktop	10000	0.567091058	0.609636185	0.659082853	5	17																		
Thailand	Desktop	1000000	0.620141512	0.666666667	0.720738991	5	17																		
Thailand	Desktop	100000	0.607655441	0.653243848	0.706227468	5	17																		
Thailand	Desktop	10000	0.470899683	0.506228201	0.547287605	5	17																		
Iraq	Desktop	100000	0.87	0.9	0.93	5	17																		
Iraq	Desktop	10000	0.544514498	0.585365854	0.632843992	5	17																		
Colombia	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Colombia	Desktop	1000000	0.793781135	0.853333333	0.922545909	5	17																		
Colombia	Desktop	100000	0.691422145	0.743295019	0.803582554	5	17																		
Colombia	Desktop	10000	0.646708162	0.695226438	0.751615203	5	17																		
Ireland	Desktop	1000000	0.620141512	0.666666667	0.720738991	5	17																		
Ireland	Desktop	100000	0.363009665	0.390243902	0.421895995	5	17																		
Ireland	Desktop	10000	0.453287293	0.487294469	0.526818186	5	17																		
Israel	Desktop	1000000	0.797324801	0.857142857	0.926664417	5	17																		
Israel	Desktop	100000	0.51866381	0.557575758	0.602799884	5	17																		
Israel	Desktop	10000	0.442081078	0.475247525	0.513794132	5	17																		
Norway	Desktop	1000000	0.372084907	0.4	0.432443395	5	17																		
Norway	Desktop	100000	0.325320137	0.349726776	0.378092586	5	17																		
Norway	Desktop	10000	0.338017047	0.363376252	0.39284915	5	17																		
Italy	Desktop	1.00E+07	0.826855349	0.888888889	0.93	5	17																		
Italy	Desktop	1000000	0.620141512	0.666666667	0.720738991	5	17																		
Italy	Desktop	100000	0.527331218	0.566893424	0.612873292	5	17																		
Italy	Desktop	10000	0.482332287	0.518518519	0.560574771	5	17																		
UAE	Desktop	1000000	0.87	0.952380952	0.93	5	17																		
UAE	Desktop	100000	0.680643123	0.731707317	0.79105499	5	17																		
UAE	Desktop	10000	0.534843237	0.574969021	0.621603888	5	17																		
Pakistan	Desktop	1000000	0.87	0.9	0.93	5	17																		
Pakistan	Desktop	100000	0.757950737	0.814814815	0.880903212	5	17																		
Pakistan	Desktop	10000	0.654277742	0.703363914	0.760412697	5	17																		
Croatia	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Croatia	Desktop	1000000	0.87	0.9	0.93	5	17																		
Croatia	Desktop	100000	0.744169814	0.8	0.86488679	5	17																		
Croatia	Desktop	10000	0.485582505	0.522012579	0.564352229	5	17																		
Japan	Desktop	1.00E+07	0.826855349	0.888888889	0.93	5	17																		
Japan	Desktop	1000000	0.580892049	0.624472574	0.675122599	5	17																		
Japan	Desktop	100000	0.483468645	0.51974013	0.561895465	5	17																		
Japan	Desktop	10000	0.397833692	0.427680547	0.462369069	5	17																		
Turkey	Desktop	1.00E+07	0.413427675	0.444444444	0.480492661	5	17																		
Turkey	Desktop	1000000	0.693099337	0.745098039	0.805531814	5	17																		
Turkey	Desktop	100000	0.51204345	0.550458716	0.595105589	5	17																		
Turkey	Desktop	10000	0.303819329	0.326612903	0.353103982	5	17																		
Czech Republic	Desktop	1000000	0.763251092	0.820512821	0.887063374	5	17																		
Czech Republic	Desktop	100000	0.609067556	0.654761905	0.707868652	5	17																		
Czech Republic	Desktop	10000	0.461923589	0.49657869	0.536855436	5	17																		
Peru	Desktop	1000000	0.87	0.9	0.93	5	17																		
Peru	Desktop	100000	0.837191041	0.9	0.93	5	17																		
Peru	Desktop	10000	0.723498431	0.777777778	0.840862156	5	17																		
Ukraine	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Ukraine	Desktop	1000000	0.87	0.9	0.93	5	17																		
Ukraine	Desktop	100000	0.817522896	0.878856283	0.93	5	17																		
Ukraine	Desktop	10000	0.763385467	0.820657277	0.887219547	5	17																		
Denmark	Desktop	1000000	0.413427675	0.444444444	0.480492661	5	17																		
Denmark	Desktop	100000	0.235226091	0.252873563	0.273383755	5	17																		
Denmark	Desktop	10000	0.311401532	0.334763948	0.361916146	5	17																		
Philippines	Desktop	1000000	0.551236899	0.592592593	0.640656881	5	17																		
Philippines	Desktop	100000	0.647500696	0.696078431	0.7525363	5	17																		
Philippines	Desktop	10000	0.67718283	0.727987421	0.78703338	5	17																		
Kuwait	Desktop	100000	0.789271015	0.848484848	0.917304171	5	17																		
Kuwait	Desktop	10000	0.639321146	0.687285223	0.743029888	5	17																		
Poland	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Poland	Desktop	1000000	0.694558493	0.746666667	0.80722767	5	17																		
Poland	Desktop	100000	0.580200194	0.623728814	0.674318514	5	17																		
Poland	Desktop	10000	0.39571807	0.425406204	0.459910257	5	17																		
Egypt	Desktop	1.00E+07	0.87	0.9	0.93	5	17																		
Egypt	Desktop	1000000	0.531549867	0.571428571	0.617776278	5	17																		
Egypt	Desktop	100000	0.52778001	0.567375887	0.613394886	5	17																		
Egypt	Desktop	10000	0.405117571	0.435510888	0.470834517	5	17																		
Portugal	Desktop	1000000	0.87	0.9	0.93	5	17																		
Portugal	Desktop	100000	0.537455977	0.577777778	0.624640459	5	17																		
Portugal	Desktop	10000	0.448115955	0.48173516	0.52080797	5	17																		
UK	Desktop	1.00E+07	0.87	0.952380952	0.93	5	17																		
UK	Desktop	1000000	0.629397355	0.676616915	0.73149629	5	17																		
UK	Desktop	100000	0.510187343	0.548463357	0.59294839	5	17																		
UK	Desktop	10000	0.449360053	0.483072593	0.52225388	5	17																		
India	Mobile	100000	0.157663616	0.171075838	0.186982146	5	17																		
India	Mobile	10000	0.265158308	0.287714953	0.314466146	5	17																		
Indonesia	Mobile	1000000	0.117028663	0.126984127	0.138790871	5	17																		
Indonesia	Mobile	100000	0.158517085	0.172001911	0.187994324	5	17																		
