site	country	device category	visits	year	month	assessment
squareyards.com*	India	desktop	67175.03058	16	7	sw
squareyards.com*	India	desktop	58823.37686	16	8	sw
squareyards.com*	India	desktop	45081.63753	16	9	sw
squareyards.com*	India	desktop	43625.57384	16	10	sw
squareyards.com*	India	desktop	31720.96814	16	11	sw
squareyards.com*	India	desktop	24448.3612	16	12	sw
squareyards.com*	India	desktop	34428.00081	17	1	sw
squareyards.com*	India	desktop	39197.0379	17	2	sw
squareyards.com*	India	desktop	40617.78806	17	3	sw
squareyards.com*	India	desktop	43429.39021	17	4	sw
squareyards.com*	India	desktop	52744.64434	17	5	sw
squareyards.com*	India	desktop	79303.70449	17	6	sw
squareyards.com*	India	desktop	156916	16	7	ga
squareyards.com*	India	desktop	88877	16	8	ga
squareyards.com*	India	desktop	104207	16	9	ga
squareyards.com*	India	desktop	101141	16	10	ga
squareyards.com*	India	desktop	87712	16	11	ga
squareyards.com*	India	desktop	91007	16	12	ga
squareyards.com*	India	desktop	113376	17	1	ga
squareyards.com*	India	desktop	104236	17	2	ga
squareyards.com*	India	desktop	122923	17	3	ga
squareyards.com*	India	desktop	109046	17	4	ga
squareyards.com*	India	desktop	130669	17	5	ga
squareyards.com*	India	desktop	199728	17	6	ga
squareyards.com*	India	mobile	122719.1896	16	7	sw
squareyards.com*	India	mobile	125729.2727	16	8	sw
squareyards.com*	India	mobile	111396.1769	16	9	sw
squareyards.com*	India	mobile	102890.742	16	10	sw
squareyards.com*	India	mobile	48210.52861	16	11	sw
squareyards.com*	India	mobile	49231.59196	16	12	sw
squareyards.com*	India	mobile	128575.2932	17	1	sw
squareyards.com*	India	mobile	226149.9381	17	2	sw
squareyards.com*	India	mobile	516559.1231	17	3	sw
squareyards.com*	India	mobile	374192.1507	17	4	sw
squareyards.com*	India	mobile	503161.8368	17	5	sw
squareyards.com*	India	mobile	989623.5185	17	6	sw
squareyards.com*	India	mobile	138105	16	7	ga
squareyards.com*	India	mobile	124467	16	8	ga
squareyards.com*	India	mobile	146513	16	9	ga
squareyards.com*	India	mobile	157149	16	10	ga
squareyards.com*	India	mobile	60003	16	11	ga
squareyards.com*	India	mobile	55948	16	12	ga
squareyards.com*	India	mobile	289610	17	1	ga
squareyards.com*	India	mobile	325719	17	2	ga
squareyards.com*	India	mobile	614901	17	3	ga
squareyards.com*	India	mobile	606499	17	4	ga
squareyards.com*	India	mobile	628512	17	5	ga
squareyards.com*	India	mobile	1128707	17	6	ga
squareyards.com*	Qatar	desktop	1279.374397	16	7	sw
squareyards.com*	Qatar	desktop	5899.573883	16	8	sw
squareyards.com*	Qatar	desktop	2644.404384	16	9	sw
squareyards.com*	Qatar	desktop	25590.37011	16	10	sw
squareyards.com*	Qatar	desktop	3855.664159	16	11	sw
squareyards.com*	Qatar	desktop	1138.837823	16	12	sw
squareyards.com*	Qatar	desktop	4048.500952	17	1	sw
squareyards.com*	Qatar	desktop	2747.228385	17	2	sw
squareyards.com*	Qatar	desktop	1721.556619	17	3	sw
squareyards.com*	Qatar	desktop	1225.994089	17	4	sw
squareyards.com*	Qatar	desktop	254.8239758	17	5	sw
squareyards.com*	Qatar	desktop	288.7086534	17	6	sw
squareyards.com*	Qatar	desktop	2352	16	7	ga
squareyards.com*	Qatar	desktop	3315	16	8	ga
squareyards.com*	Qatar	desktop	2630	16	9	ga
squareyards.com*	Qatar	desktop	22678	16	10	ga
squareyards.com*	Qatar	desktop	5622	16	11	ga
squareyards.com*	Qatar	desktop	2999	16	12	ga
squareyards.com*	Qatar	desktop	7521	17	1	ga
squareyards.com*	Qatar	desktop	6548	17	2	ga
squareyards.com*	Qatar	desktop	5808	17	3	ga
squareyards.com*	Qatar	desktop	4632	17	4	ga
squareyards.com*	Qatar	desktop	4743	17	5	ga
squareyards.com*	Qatar	desktop	2604	17	6	ga
squareyards.com*	Qatar	mobile	0	16	7	sw
squareyards.com*	Qatar	mobile	0	16	8	sw
squareyards.com*	Qatar	mobile	0	16	9	sw
